,file,type,cbo,wmc,RM_WMC,dit,rfc,lcom,RM_LCOM5,tcc,lcc,totalMethodsQty,RM_NMD,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,RM_NAD,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,RM_LOC,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,sample_id_x,RM_NADC,RM_ATFD,[NOM] > 15|[NOF] > 15,[NOM] + [NOF] > 20,[CLOC] > 750|[NOM] + [NOF] > 20,([ATFD] > 2) & ([WMC] ≥ 47) & ([TCC] < 0.33),([WMC] ≥ 47) & ([TCC] < 0.3) & ([ATFD] > 5),"[LCOM] ≥ 0,725 & [WMC] ≥ 34 & [NOF] ≥ 8 & [NOM] ≥ 14",[CLOC] > 100|[VG] > 20,([NOM] > 20)|([NOF] > 9)|([CLOC] > 750),ALL,ANY,MAJOR VOTES,parts,label
0,5786929,class,54,144,138,4,135,229,0.9339,0.33333334,0.47619048,34,33,1,5,27,0,2,7,0,0,0,50,50,11,0,34,1,15,35,0,3,996,686,31,10,44,10,31,62,88,189,78,139,6,1,7,0,273,1,16,5786929,1,0,1,1,1,0,0,1,1,1,0,1,1,train,1
1,5789396,class,10,6,6,2,2,6,1.1667,0.0,0.0,4,1,0,3,0,1,0,4,0,0,0,2,2,2,1,1,0,0,2,0,0,20,16,2,0,1,0,0,2,1,2,1,2,1,0,0,0,41,1,0,5789396,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
2,5799314,class,11,16,16,1,9,1,0.64,0.6666667,1.0,6,5,0,4,2,0,0,4,0,0,0,5,5,0,0,5,0,0,5,0,0,53,46,12,0,1,0,0,0,0,8,0,8,1,0,0,0,38,1,0,5799314,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
3,5799022,class,7,8,8,1,6,0,0.8889,0.16666667,0.16666667,4,4,0,0,0,1,3,4,1,0,0,3,3,0,0,3,0,0,0,0,0,26,21,2,0,1,0,0,1,0,5,0,6,1,0,0,0,72,1025,0,5799022,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
4,5812130,class,3,1,1,2,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1024,0,5812130,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
5,5828468,class,14,102,99,1,41,37,0.9398,0.30555555,0.41666666,18,15,0,9,9,0,0,9,0,0,0,43,43,38,0,43,0,0,37,0,0,341,296,37,4,21,0,8,80,10,82,9,82,7,0,0,0,152,1,18,5828468,0,0,1,1,1,0,0,1,1,1,0,1,1,train,1
6,5839091,class,6,6,6,1,4,0,2.0,1.0,1.0,2,1,0,2,0,0,0,2,0,0,0,1,1,0,0,1,0,0,1,0,0,29,26,0,0,3,0,0,1,0,5,0,3,2,0,0,0,21,12,0,5839091,0,1,0,0,0,0,0,0,0,0,0,0,0,train,0
7,5839770,class,1,1,1,2,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,6,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,11,8,0,5839770,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
8,5855407,interface,3,2,2,1,0,1,0.0,0.0,0.0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,5855407,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
9,5857044,class,3,2,2,1,4,0,0.0,1.0,1.0,2,1,0,2,0,0,0,2,0,0,0,1,1,0,0,1,0,0,1,0,0,11,8,0,0,0,0,0,2,0,1,1,1,0,0,0,0,14,1,0,5857044,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
10,5866628,class,9,6,5,2,11,4,1.0,0.16666667,0.16666667,4,3,1,3,0,1,0,4,0,0,0,2,2,1,1,1,0,0,1,0,1,26,22,1,0,1,0,0,3,3,7,1,7,1,0,0,0,45,17,0,5866628,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
11,5871455,class,1,1,1,2,1,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,5871455,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
12,5875400,interface,4,6,6,1,0,15,1.2,0.0,0.0,6,6,0,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,78,1,0,5875400,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
13,5884892,class,22,27,35,2,24,84,0.9289,0.114285715,0.23809524,16,6,0,11,1,4,0,15,0,0,0,15,15,2,0,14,1,0,2,0,0,200,173,8,2,1,3,0,17,5,27,0,24,4,2,1,0,124,1,13,5884892,0,0,1,1,1,0,0,1,1,1,0,1,1,train,1
14,5894436,interface,1,0,0,1,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,5894436,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
15,5898336,class,1,2,2,2,0,1,0.0,0.0,0.0,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1025,0,5898336,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
16,5870863,class,7,11,11,2,12,36,0.0,0.0,0.0,9,8,1,8,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,2,45,38,3,2,0,0,0,0,2,7,2,4,1,0,1,0,32,1,0,5870863,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
17,5905362,class,1,1,1,2,0,0,0.0,-1.0,-1.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,0,24,0,0,0,0,0,0,0,0,31,1,0,5905362,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
18,5905498,class,4,6,6,1,10,1,0.0,0.0,0.0,2,2,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,29,27,4,1,1,1,1,0,2,9,0,7,4,0,0,0,37,1025,0,5905498,0,3,0,0,0,0,0,0,0,0,0,0,0,test,0
19,5938889,class,19,12,16,2,18,11,0.9667,0.0952381,0.14285715,6,5,0,6,0,0,0,7,0,0,0,6,6,0,0,6,0,0,6,0,2,139,128,0,2,0,2,0,4,2,12,1,12,3,7,0,0,72,1,2,5938889,0,0,0,0,0,0,0,0,1,0,0,1,1,train,1
20,5935402,class,2,23,15,1,11,28,0.9583,0.32051283,0.5769231,13,10,1,12,0,0,1,13,0,0,0,14,14,9,8,6,0,0,9,0,13,71,55,12,0,3,1,1,12,6,19,1,17,2,0,0,0,59,1,1,5935402,0,0,0,1,1,0,0,1,0,1,0,1,0,train,0
21,5971146,class,2,1,1,2,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,5971146,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
22,6009975,class,0,0,0,1,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,6009975,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
23,6009432,class,1,11,11,3,0,33,0.8667,0.2,0.2,11,0,0,11,0,0,0,11,0,0,0,3,3,1,0,3,0,0,1,0,0,41,36,2,0,0,0,0,0,1,6,0,3,0,0,0,0,28,1,0,6009432,0,0,0,0,0,0,0,0,0,0,0,0,0,test,0
24,6012953,class,7,1,1,2,0,0,0.0,-1.0,-1.0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1024,0,6012953,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
25,6133656,class,13,28,28,2,36,31,0.8714,0.0952381,0.14285715,11,10,1,2,4,5,0,7,0,0,0,7,7,1,0,7,0,0,1,0,2,121,112,11,2,6,0,3,3,12,31,3,22,3,0,0,1,122,1,0,6133656,0,0,0,0,0,0,0,0,1,0,0,1,1,train,1
26,6025409,class,2,1,1,2,0,0,0.0,-1.0,-1.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,0,6025409,0,0,0,0,0,0,0,0,0,0,0,0,0,test,0
27,6051731,class,16,157,131,1,50,457,0.8559,0.1952381,0.1952381,38,30,2,36,2,0,0,36,0,2,0,3,3,1,0,3,0,0,1,0,4,387,382,44,29,53,2,2,11,37,57,5,36,5,1,0,0,178,1,0,6051731,0,0,1,1,1,0,0,1,1,1,0,1,1,test,0
28,6073506,class,4,1,1,2,1,0,0.0,-1.0,-1.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,0,6073506,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
29,6079026,class,31,27,27,2,71,43,0.963,0.0,0.0,10,9,4,1,8,0,1,2,0,0,0,3,3,1,0,3,0,0,3,0,3,154,130,8,0,0,0,1,11,2,21,2,23,6,0,1,3,131,17,8,6079026,0,0,0,0,0,0,0,0,1,0,0,1,1,train,1
