,embedding,name,label_x,parts,sample_id,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
0,[-1.7238994 -2.7377453  1.469403  ... -2.3426583 -1.7545737  3.5961604],3698602,not_lm,train,3698602,0.0,79.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
1,"[-0.12735921  0.1913889   0.8362702  ... -2.4579597  -0.16025466
  1.4860477 ]",3698665,not_lm,train,3698665,0.0,91.0,3.0,1.0,2.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0
2,"[-11.290483  -11.93186     6.1415105 ... -10.451984   -5.2057996
  15.473181 ]",3698860,not_lm,train,3698860,0.0,201.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0
3,[ 0.1316638 -1.0432024  1.8585718 ... -2.0103803 -0.7829188  1.6554203],3699227,not_lm,train,3699227,0.0,32.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
4,"[ 4.6276145   0.16777265 -1.0533864  ... -4.6262264   2.534981
 -5.5694675 ]",3699521,not_lm,train,3699521,0.0,7012.0,1.0,1.0,1.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0
5,[-2.7218761 -3.0269608  2.7555337 ... -4.6125503 -1.8584803  3.6610532],3700134,not_lm,train,3700134,1.0,43.0,0.0,2.0,4.0,6.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0
6,"[-2.04656602 -2.27799596  0.36726438 ... -1.97366409 -1.97421996
  1.30689421]",3701394,not_lm,train,3701394,0.0,441.0,1.0,4.0,0.0,6.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,11.0,2.0,8.0,1.0,0.0,0.0,23.0,17.0,0.0,1.0
7,"[-0.68247537 -1.39003964  3.79533783 ... -3.91563562 -2.07843842
 -2.37971354]",3701417,not_lm,train,3701417,0.0,791.0,1.0,2.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,15.0,1.0,11.0,1.0,0.0,0.0,18.0,17.0,0.0,1.0
8,"[-0.13614637 -1.3172832   2.4167988  ... -3.0927854  -2.7770002
  2.3585038 ]",3701614,not_lm,test,3701614,0.0,956.0,3.0,2.0,2.0,9.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
9,"[ 0.32512486  0.21843398  2.736034   ... -2.5792096  -2.2976246
 -3.1344762 ]",3703084,not_lm,train,3703084,0.0,2392.0,3.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0
10,"[-1.952871   -0.63522255  0.9372639  ... -3.9918103  -1.5386661
 -1.7160606 ]",3709545,not_lm,test,3709545,0.0,1342.0,3.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0
11,"[ 0.16497362  0.18500304  1.5936463  ... -1.8288801  -1.489954
  1.7338831 ]",3717549,not_lm,train,3717549,0.0,160.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
12,"[ 0.21442103  0.18407375  1.4915776  ... -5.240805    0.712886
  1.2920865 ]",3719020,not_lm,test,3719020,1.0,1880.0,1.0,1.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0
13,"[ -9.32977241  -1.84753938  -3.25323841 ... -10.0775599   -8.75541312
   6.07681164]",3722097,not_lm,train,3722097,0.0,461.0,2.0,5.0,7.0,27.0,2.0,5.0,2.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,7.0,1.0,2.0,0.0,0.0,14.0,18.0,0.0,0.0
14,[ 0.5264726  1.1742508  0.4193041 ... -2.2934005 -0.8169828  0.4353338],3722557,not_lm,test,3722557,0.0,8680.0,2.0,1.0,2.0,5.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0
