,Rule specification,Training set-P,Training set-R,Training set-F,Test set-P,Test set-R,Test set-F,All-P,All-R,All-F
GC_1,[ATFD] > 2 & [WMC] ≥ 47 & [TCC] < 0.33,0.25,0.03,0.05,0.75,0.06,0.1,0.33,0.03,0.06
GC_2,[WMC] ≥ 47 & [TCC] < 0.3 & [ATFD] > 5,0.36,0.03,0.05,0.75,0.06,0.1,0.44,0.03,0.06
GC_3,[NOM] > 15 | [NOF] > 15,0.33,0.42,0.37,0.44,0.52,0.47,0.35,0.44,0.39
GC_4,[CLOC] > 750 | [NOM] + [NOF] > 20,0.35,0.46,0.4,0.39,0.44,0.42,0.36,0.46,0.4
GC_5,[NOM] + [NOF] > 20,0.35,0.46,0.4,0.39,0.44,0.42,0.36,0.46,0.4
GC_6,[LCOM] ≥ 0.725 & [WMC] ≥ 34 & [NOF] ≥ 8 & [NOM] ≥ 14,0.31,0.56,0.4,0.34,0.61,0.43,0.31,0.57,0.41
GC_7,[NOM] > 20 | [NOF] > 9 | [CLOC] > 750,0.36,0.43,0.39,0.39,0.39,0.39,0.37,0.42,0.39
GC_8,[CLOC] > 100 | [WMC] > 20,0.34,0.66,0.45,0.37,0.7,0.49,0.35,0.67,0.46
ALL,ALL,0.5,0.02,0.04,0.75,0.06,0.1,0.58,0.03,0.05
ANY,ANY,0.3,0.71,0.42,0.31,0.7,0.43,0.3,0.71,0.42
Weighted_Vote,Weighted Vote,0.35,0.46,0.4,0.39,0.44,0.42,0.36,0.45,0.4
