,embedding,name,label,sub_label,parts,sample_id,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,visibleMethodsQty,type,from_project,RM_LOC,RM_LCOM5,RM_NADC,RM_ATFD,RM_WMC
0,"[-126.83897924  -85.89345413  171.32454524 ... -258.63351836  -57.41699367
  238.26944935]",4131952,crit_blob,crit_blob,test,4131952,24,145.0,2,55,1085.0,0.064313725,0.13411765,55,17,51,4,0,0,51,0,0,0,9,8,3,6,0,0.0,9,35,664.0,79,29,34,0,19,11,109,99,60,72,5,3,3,2,316,1,0,,,,,,,,
1,"[-88.04701531 -30.26268659  41.46568394 ... -81.78867326 -10.44600186
  -3.00748689]",4296219,crit_blob,crit_blob,train,4296219,13,47.0,2,37,146.0,0.15238096,0.9047619,21,0,2,0,19,0,21,0,0,0,50,24,0,3,47,0.0,24,5,298.0,12,0,10,2,4,39,26,87,17,69,3,7,0,0,113,1,5,,,,,,,,
2,"[ -79.9751079    14.27562532   14.30123103 ... -232.66946302  -50.76977273
 -106.6668293 ]",4455297,crit_blob,crit_blob,train,4455297,19,134.0,1,53,1059.0,0.24886878,0.47511312,59,1,51,7,1,0,52,0,4,0,8,0,0,8,0,0.0,0,0,494.0,63,0,58,1,32,0,49,74,0,13,2,0,0,0,87,25,0,,,,,,,,
3,"[-146.59645303   16.37998381  -57.11512138 ... -146.99360536  -90.98360399
   11.23852345]",4512195,crit_blob,crit_blob,train,4512195,27,82.0,1,68,10.0,0.4848485,0.8333333,16,4,5,4,0,7,12,0,0,1,11,3,0,11,0,0.0,0,16,471.0,7,17,14,4,2,24,5,90,4,74,6,0,1,0,277,1,0,,,,,,,,
4,"[-219.91927578  -43.38192949   -5.8574188  ... -238.36240317   35.34994162
   78.14527141]",5596503,crit_blob,crit_blob,train,5596503,44,111.0,2,102,358.0,0.08300395,0.17786561,29,0,18,6,2,3,23,0,0,0,5,0,0,5,0,0.0,0,0,554.0,16,10,23,0,3,83,30,92,20,79,4,0,0,0,143,1,0,,,,,,,,
5,"[-370.29629232  -10.32702091  160.83418426 ... -550.46369659 -211.38686427
   59.70218552]",5786929,crit_blob,crit_blob,train,5786929,54,144.0,4,135,229.0,0.33333334,0.47619048,34,1,5,27,0,2,7,0,0,0,50,11,0,34,1,15.0,35,3,996.0,31,10,44,10,31,62,88,189,78,139,6,1,7,0,273,1,16,,,,,,,,
6,"[ -38.62550135   18.21803527  -43.44779876 ...  -89.4781646  -123.12186661
   28.88020033]",6079026,crit_blob,crit_blob,train,6079026,31,27.0,2,71,43.0,0.0,0.0,10,4,1,8,0,1,2,0,0,0,3,1,0,3,0,0.0,3,3,154.0,8,0,0,0,1,11,2,21,2,23,6,0,1,3,131,17,8,,,,,,,,
7,"[ -98.93656078   76.48946941 -112.49235748 ... -357.41336667  101.37106512
 -488.43599994]",6204790,crit_blob,crit_blob,train,6204790,116,6.0,1,38,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,147,34,34,113,0,0.0,34,0,501.0,0,1,0,0,0,90,1,63,1,176,2,1,1,0,276,1,0,,,,,,,,
8,"[-61.85294974   8.49757184  17.36298897 ... -81.51568345 -40.32713036
 -13.08647455]",6374724,crit_blob,crit_blob,train,6374724,22,65.0,2,47,9.0,0.35238096,0.52380955,15,1,14,0,0,1,15,0,1,0,11,6,6,5,0,0.0,6,1,288.0,9,11,19,1,7,6,0,89,0,70,5,0,0,0,127,1,0,,,,,,,,
9,"[-508.49038512  140.5507148   550.68970276 ... -921.58336513  -57.2358778
  121.49749307]",6379553,crit_blob,crit_blob,train,6379553,17,105.0,2,52,871.0,0.06881720599999999,0.10752688,47,0,29,16,2,0,31,0,0,0,32,12,7,25,0,0.0,12,1,981.0,26,4,23,1,7,8,24,55,0,42,4,1,1,4,370,1,0,,,,,,,,
